,v1,v2,v3,v4
0,0.1,0.7000000000000001,0.7000000000000001,0.7000000000000001
1,0.0,0.5,0.6000000000000001,0.30000000000000004
2,1.0,0.9,0.5,0.9
3,0.5,0.6000000000000001,0.2,0.9
4,0.5,0.5,0.7000000000000001,0.9
5,1.0,0.1,0.1,0.30000000000000004
6,0.6000000000000001,0.0,0.5,0.5
7,1.0,0.2,0.2,0.9
8,0.5,0.8,0.6000000000000001,0.0
9,0.30000000000000004,0.4,0.1,0.4
10,0.1,0.30000000000000004,1.0,0.6000000000000001
11,0.9,0.0,0.1,0.5
12,0.5,0.30000000000000004,0.6000000000000001,0.8
13,0.0,0.5,0.5,0.6000000000000001
14,0.2,0.5,0.1,0.30000000000000004
15,0.0,0.30000000000000004,0.5,0.6000000000000001
16,0.5,1.0,0.4,0.7000000000000001
17,0.6000000000000001,0.8,0.8,0.1
18,0.8,0.8,1.0,0.6000000000000001
19,0.1,0.9,0.1,0.30000000000000004
